title,date,time,location,type,imageUrl
Paws in the Park,May-10,10:00AM,Central Park,Outdoor,https://www.shelbycountyreporter.com/wp-content/uploads/sites/20/2022/03/Paws-in-the-Park-Pelham-9KDM_7004.jpg
Pet Yoga,May-12,09:30AM,Yoga Center,Indoor,https://www.dogseechew.in/storage/editor_62aff2b7251a3-yoga-for-dogs-2.webp
Grooming Workshop,May-15,01:00PM,Pet Plaza,Workshop,https://www.academyofanimalarts.com/images/workshop/Workshop.png
Adoption Fair,May-20,11:00AM,Animal Shelter,Community,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUk0-1kJr-utQBY8XL1kj36rwBYg5Xh9zm5w&s
Pet Carnival,May-18,02:00PM,City Arena,Outdoor,https://example.com/carnival.jpg
Puppy Picnic,May-21,12:00PM,Lake Garden,Outdoor,https://assets.telegraphindia.com/telegraph/2023/Jan/1675039865_new-project-2023-01-30t061702-225.jpg
Vet Talk Show,May-16,03:00PM,"Hall B, Vet Hub",Workshop,https://www.thesupervet.com/wp-content/uploads/2016/07/Lulu-1024x683.jpg
Cat Café Meetup,May-17,05:00PM,Meow Café,Indoor,https://images.ctfassets.net/spoqsaf9291f/3VTsEewMv2DJ7EuXJEcaKC/ef6426ba5ddec71bf6e9b5fcce491bb6/cats-coffee-notion-hero.png
Hamster Race,May-22,04:30PM,Mini Track Arena,Indoor,https://outtherearts.org.uk/wp-content/uploads/2025/02/fdedd134.jpg
Parrot Parade,May-19,11:30AM,Main Street Park,Outdoor,https://www.fabulousinflatables.com/wp-content/uploads/2013/02/Parrot-The-Real-Macaw-70_0041.jpg
Doggy Date Night,May-23,06:00PM,Moonlight Café,Community,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1BLrpIWB88IHAw9rtWAvo6gPH4IBiMDASKQ&s
Bunny Bonding,May-24,09:00AM,Greenfields Farm,Community,https://rabbitwelfare.co.uk/wp-content/uploads/2023/03/mark-gomar-rabbit-companionship-group-diet-1.jpg
