_id,name,price,category,image,description,rating,soldBy,petType
681451a8bcffc3a50e042e00,Organic Dog Food - Chicken,25.5,Food,https://images-cdn.ubuy.co.in/67c587c1486e0a1f704b0feb-freshpet-select-chicken-and-veggie.jpg,"High-protein organic dog food made with fresh chicken, no artificial preservatives, suitable for all breeds.",4.8,HealthyPaws Co.,Dog
681451a8bcffc3a50e042e01,Gourmet Cat Treats - Salmon,9.99,Food,https://images.albertsons-media.com/is/image/ABS/960526159-C1N1?$ng-ecom-pdp-mobile$&defaultImage=Not_Available,Tasty and healthy salmon-flavored treats for cats. Rich in omega-3.,4.6,PurrFeast,Cat
681451a8bcffc3a50e042e02,Organic Fish Food,7.99,Food,"https://m.media-amazon.com/images/I/71xEUKsW8kL.AC_UF1000,1000_QL80.jpg",Organic and nutritious fish food for all types of aquarium fish.,4.5,Oceanic,Fish
681451a8bcffc3a50e042e03,Organic Cat Food - Turkey,18.99,Food,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEJn2eTDsCujWM3tX4plExwbyvFlJo8tCEOw&s,"Natural, preservative-free organic cat food with turkey as the main ingredient.",4.7,GreenPaws,Cat
681451a8bcffc3a50e042e04,Fish Food Pellets,5.99,Food,https://m.media-amazon.com/images/I/81BM0uNfyJL.jpg,High-quality fish food pellets for ornamental fish. Easy to digest and nutrient-rich.,4.4,FishFeast,Fish
681451a8bcffc3a50e042e05,Dog Food - Beef & Sweet Potato,24.99,Food,https://cdn.shopify.com/s/files/1/0084/9664/4192/files/srkuxgb17qyrxsudcjkf.png?v=1745929986,Nutritious beef and sweet potato mix for dogs. Full of protein and fiber.,4.6,HappyTails,Dog
681451a8bcffc3a50e042e06,Catnip Treats for Cats,6.99,Food,https://images-cdn.ubuy.co.in/66aedb70382703531c23a3f2-natural-catnip-cat-treats-chicken-and.jpg,Catnip-infused treats to keep your cat entertained and happy.,4.5,MeowMunch,Cat
681451a8bcffc3a50e042e07,Premium Dog Food - Salmon,30,Food,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnz8jxZqPoltUdvwM-5S30-wDB2z8uNYb6jQ&s,Salmon-based premium food for dogs with additional vitamins and minerals.,4.7,DoggyDelights,Dog
681451a8bcffc3a50e042e08,Healthy Dog Biscuits,7.5,Food,https://rukminim2.flixcart.com/image/850/1000/xif0q/pet-food/p/c/u/-original-imahf3grnbtpkgtf.jpeg?q=90&crop=false,Healthy dog biscuits made with whole grains and low-fat chicken.,4.6,BarkBites,Dog
681451a8bcffc3a50e042e09,Bird Seed Mix,12.99,Food,https://rukminim2.flixcart.com/image/850/1000/xif0q/pet-food/e/d/x/200-bird-1-wild-birds-480gm-green-view-original-imagygazvb5hgegf.jpeg?q=20&crop=false,"High-quality bird seed mix, ideal for a variety of small bird species.",4.4,FeatherFood,Bird
681451a8bcffc3a50e042e0a,Cat Scratching Post,15.99,Toys,https://rukminim2.flixcart.com/image/850/1000/kuu4x3k0/cat-tree/l/d/3/big-spool-of-natural-sisal-rope-for-diy-cat-post-cat-tree-original-imag7vq8tsjvwfmt.jpeg?q=90&crop=false,"A sturdy and tall scratching post for cats, made with sisal and wood base. Encourages healthy scratching habits.",4.6,WhiskerWorld,Cat
681451a8bcffc3a50e042e0b,Chew Toy Bone for Dogs,10.49,Toys,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQK08LivsMJT1HDx_Cq3VeA7XGaKNlKT7lumg&s,Durable rubber chew bone that massages gums and reduces plaque.,4.4,ChewMasters,Dog
681451a8bcffc3a50e042e0c,Interactive Cat Toy,12.99,Toys,"https://www.jiomart.com/images/product/original/rvrsbgzymq/dhanak-1pc-medium-catnip-fish-toy-for-cats-soft-and-durable-interactive-cat-kicker-toys-for-indoor-kitten-exercise-8-inches-for-all-breeds-product-images-orvrsbgzymq-p610023242-2-202409251205.jpg?im=Resize=(420,420)",Battery-operated interactive toy that moves in unpredictable ways to keep your cat entertained.,4.6,KittyPlay,Cat
681451a8bcffc3a50e042e0d,Laser Pointer for Dogs & Cats,8.99,Toys,https://rukminim2.flixcart.com/image/850/1000/xif0q/laser-pointer/f/l/t/532-3pcs-laser-light-led-cat-chasing-laser-pointer-pens-dogs-pet-original-imagyj7b4g3hwktm.jpeg?q=90&crop=false,"A fun laser pointer toy for both dogs and cats, encourages active play.",4.5,PawGames,Dog & Cat
681451a8bcffc3a50e042e0e,Bird Flying Toy,9.49,Toys,https://m.media-amazon.com/images/I/71dTXm65vGL.jpg,Interactive flying toy for birds that promotes exercise and mental stimulation.,4.3,FlyingFeathers,Bird
681451a8bcffc3a50e042e0f,Dog Puzzle Toy,14.99,Toys,"https://m.media-amazon.com/images/I/71THE2QseXL.AC_UF1000,1000_QL80.jpg",Puzzle toy for dogs that helps to reduce boredom and improve intelligence.,4.6,SmartPaws,Dog
681451a8bcffc3a50e042e10,Cat Laser Chase,5.99,Toys,https://m.media-amazon.com/images/I/51M026isFkL.jpg,Engaging laser chase game for cats. Keeps them active and entertained.,4.7,PawsPlay,Cat
681451a8bcffc3a50e042e11,Dog Squeaky Toy,7.49,Toys,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHFH9eU56x4aLaW7Qhe9T7JF4x0iqvESrz3w&s,Squeaky toy for dogs that helps with teeth cleaning and boredom relief.,4.6,PetPlay,Dog
681451a8bcffc3a50e042e12,Bird Rope Toy,3.99,Toys,https://m.media-amazon.com/images/I/71SQiULFzIL.jpg,"Durable rope toy for birds, ideal for climbing and chewing.",4.5,FeatherToys,Bird
681451a8bcffc3a50e042e13,Interactive Dog Ball,18.99,Toys,https://www.doggocracy.com/cdn/shop/products/57c91479-aef4-4a3d-a304-44835df6846b_1.448de7dbef33fe2b8477034b9fd6c6b6_1_4238e93e-7d75-4402-8e36-f9f11b63ad7b.webp?v=1689937356,"Interactive bouncing ball for dogs, perfect for playing fetch.",4.7,DogPlay,Dog
681451a8bcffc3a50e042e14,Hypoallergenic Pet Shampoo,11.99,Bodycare,https://www.dogseechew.in/storage/ProductGroup_64526620288c6-productgroup-63f60dcaade88-productgroup-637b8f708b82a-gallery6-oatmeal.webp,Gentle and tear-free shampoo suitable for dogs and cats with sensitive skin.,4.5,CleanPaws,Dog & Cat
681451a8bcffc3a50e042e15,Luxury Dog Bed,49.99,Bodycare,https://i.etsystatic.com/15204661/r/il/1c1fd0/3902054544/il_570xN.3902054544_5v5e.jpg,Soft and cozy bed made of memory foam for ultimate comfort for your dog.,4.8,PetComfort,Dog
