_id,animalType,breed,age,groomingInfo,dietInfo,healthInfo,image,youtubeLinks[0].title,youtubeLinks[1].title,youtubeLinks[0].url,youtubeLinks[1].url,trainingInfo
68369f39798052bc83763d47,Cat,Persian,Puppy/Kitten | Adult | Senior,"Persian cats require daily brushing to prevent matting of their long, luxurious coat. They need regular baths every 4-6 weeks, and special attention to their facial folds to prevent irritation. Their eyes need daily gentle cleaning to remove discharge and prevent staining. Trim nails every 2-3 weeks and clean ears weekly.","Adult Persian cats thrive on high-quality protein-rich food. They may benefit from food formulated for long-haired breeds or food that helps with hairball control. Provide fresh water daily and monitor food intake to prevent obesity, which is common in this breed.","Persian cats are prone to polycystic kidney disease, progressive retinal atrophy, and breathing difficulties due to their brachycephalic facial structure. They may also suffer from excessive tearing and dental issues. Regular veterinary check-ups are essential.",https://plus.unsplash.com/premium_photo-1667099522600-29a75014848d?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTd8fHBlcnNpYW4lMjBjYXR8ZW58MHx8MHx8fDA%3D,How to Groom a Persian Cat,Persian Cat Care Tips,https://www.youtube.com/watch?v=t54wb63THIg,https://dccpets.in/pet-care-blog/top-5-mistakes-new-persian-cat-owners-make-and-how-to-avoid-them,
68369f39798052bc83763d48,Cat,Siamese,Puppy/Kitten | Adult | Senior,Siamese kittens have short coats that require minimal grooming. Weekly brushing is sufficient to remove loose hair and stimulate blood circulation. Start nail trimming and ear cleaning routines early to accustom them to these procedures. Brushing teeth regularly with kitten-safe toothpaste will help establish good dental hygiene.,"Siamese kittens need high-quality kitten food rich in protein for their development. Feed them multiple small meals throughout the day. Their metabolism is high, so they may need more calories per pound than other breeds. Always provide fresh water and monitor for any food sensitivities.",Siamese kittens are generally healthy but can be prone to respiratory issues and dental problems. They may develop cross-eyes or kinked tails due to genetic factors. Establish a vaccination schedule with your vet and begin parasite prevention early.,https://images.unsplash.com/photo-1575616277208-184c0f3ed34b?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8c2lhc21lZSUyMGNhdHxlbnwwfHwwfHx8MA%3D%3D,Siamese Kitten Care Guide,How to Train Your Siamese Kitten,https://www.youtube.com/watch?v=zYCoGnHEUug,https://www.youtube.com/watch?v=8Y-tBGWM0vE&pp=ygUKI3NpYW1hc3NldA%3D%3D,
68369f39798052bc83763d49,Cat,Maine Coon,Puppy/Kitten | Adult | Senior,"Maine Coons have long, thick coats that require brushing 2–3 times a week to prevent mats and tangles. Regular grooming helps reduce shedding and hairballs. Bathe them every 6–8 weeks and clean their ears regularly. Trim nails every 2–3 weeks and brush teeth weekly.","A balanced diet rich in animal protein supports their large, muscular frame. Feed them high-quality dry or wet food formulated for large cats. Fresh water should always be available. Monitor weight to avoid obesity.","Maine Coons may be predisposed to hypertrophic cardiomyopathy (a heart disease), hip dysplasia, and spinal muscular atrophy. Routine vet visits, genetic screenings, and a proper diet are essential to their health.",https://media.istockphoto.com/id/1031592516/photo/maine-coon-cat-on-white-background.webp?a=1&b=1&s=612x612&w=0&k=20&c=IkpZQkmDwjE_IA3F-MBOe7aCcq0DVSaWK5Iah4XLTEo=,How to Groom a Maine Coon Cat,Maine Coon Cat Care Guide,https://www.youtube.com/watch?v=otlQ27YLhcM,https://www.wikihow.com/Groom-a-Maine-Coon-Cat,
68369f39798052bc83763d4a,Cat,Bengal,Puppy/Kitten | Adult | Senior,"Bengal cats have short, sleek coats that require minimal grooming. Weekly brushing helps control shedding and strengthens your bond. They enjoy water, so occasional baths can be a fun activity. Clean ears monthly and trim nails every 2–3 weeks.",Feed Bengals a protein-rich diet to support their active lifestyle. Consider high-quality raw or grain-free commercial food. Keep portions controlled to maintain a healthy weight. Provide fresh water at all times.,"Bengals may be prone to progressive retinal atrophy, heart disease, and joint issues. Keep up with regular vet visits and be alert for signs of food allergies or digestive issues.",https://images.unsplash.com/photo-1603277160434-df7471138363?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8YmVuZ2FsJTIwY2F0fGVufDB8fDB8fHww,How to Care for a Bengal Cat,Bengal Cat Grooming Tips,https://www.youtube.com/watch?v=wbaEfgVQxS4,https://www.abkgrooming.com/blogs/latest-blog/10-must-know-tips-for-bengal-cat-owners,
68369f39798052bc83763d4b,Cat,Ragdoll,Puppy/Kitten | Adult | Senior,"Ragdolls have soft, semi-long hair that needs brushing 2–3 times a week to prevent tangles. They shed more during seasonal changes, requiring more frequent grooming. Bathe them occasionally, clean ears, and trim nails regularly.","Feed Ragdolls a well-balanced, high-protein diet to maintain muscle mass and coat health. Choose food suitable for indoor cats to prevent obesity. Provide clean, fresh water at all times.","Ragdolls may be susceptible to heart disease (HCM), bladder stones, and obesity. Regular vet check-ups and genetic screenings are important. Monitor their weight and exercise level.",https://images.unsplash.com/photo-1697358120032-c07f0d450760?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OHx8cmFnZG9sbHxlbnwwfHwwfHx8MA%3D%3D,Ragdoll Cat Grooming Guide,Ragdoll Cat Care Explained,https://www.youtube.com/watch?v=H5CfCEip2Ck&pp=0gcJCdgAo7VqN5tD,https://untamed.com/blogs/cat-breeds/caring-for-a-ragdoll-cat,
6836a030798052bc83763d4c,Dog,Labrador Retriever,Puppy/Kitten | Adult | Senior,"Senior Labradors need regular brushing 2-3 times a week to manage shedding and distribute skin oils. Their coat may become thinner and duller with age. Bathe them every 6-8 weeks or when dirty, using gentle, senior-specific shampoos. Check and clean ears weekly, as seniors are prone to ear infections. Trim nails regularly, as older dogs exercise less and nails don't wear down naturally.","Senior Labradors benefit from age-appropriate food with lower calories but high-quality protein to maintain muscle mass. Consider supplements for joint health like glucosamine and chondroitin. Feed smaller, more frequent meals to aid digestion. Monitor weight carefully, as obesity can worsen joint issues common in older Labs.","Senior Labradors are prone to arthritis, hip dysplasia, and joint pain. They may develop vision and hearing loss, dental disease, and cognitive dysfunction. Regular veterinary check-ups (twice yearly) are essential, including blood work to monitor organ function. Watch for signs of cancer, which is common in older Labs.",https://media.istockphoto.com/id/1140921758/photo/yellow-labrador-retriever-at-the-street.webp?a=1&b=1&s=612x612&w=0&k=20&c=9gFx8_kqMu47tOSfeysnbxS8TiUwbWKQvJy6Xy9lfaA=,Senior Labrador Care Tips,Joint Health for Aging Retrievers,https://www.youtube.com/watch?v=yu8mA24x9vY,https://www.youtube.com/watch?v=Iv-Jox0gAFA,Continue mental stimulation with gentle training sessions. Adapt exercises to accommodate reduced mobility and energy levels. Use positive reinforcement and be patient with any cognitive decline.
6836a030798052bc83763d4d,Dog,German Shepherd,Puppy/Kitten | Adult | Senior,"Senior German Shepherds require brushing 3-4 times a week due to their double coat, which sheds year-round and more heavily seasonally. Bathe them every 6-8 weeks or as needed with a mild, age-appropriate shampoo. Regularly clean ears and check for signs of infection. Brush teeth frequently and trim nails monthly.","Feed senior German Shepherds a diet low in fat but rich in lean proteins and omega-3 fatty acids to maintain muscle and joint health. Consider supplements for arthritis support like glucosamine, chondroitin, and fish oil. Smaller, more frequent meals can aid digestion and reduce bloat risk.","Common issues in senior German Shepherds include hip and elbow dysplasia, degenerative myelopathy, and arthritis. Monitor for cognitive dysfunction, vision/hearing loss, and dental problems. Regular check-ups (twice per year) with blood tests are vital to track age-related health conditions.",https://images.unsplash.com/photo-1676294362221-764f1ff246fd?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTR8fGdlcm1hbiUyMHNoZXBhcmR8ZW58MHx8MHx8fDA%3D,Caring for Senior German Shepherds,Arthritis and Mobility Support for Older Dogs,https://www.youtube.com/watch?v=hZIxYlACMfE,https://supertails.com/pages/german-shepherd?srsltid=AfmBOooaRgyUNYoppsgzYpxMARHfhikHFChrTJyyx-xyZfJzFVAVQ_lh,Continue light training to stimulate the mind. Incorporate low-impact physical activities like slow walks and puzzle toys. Use clear commands and be patient as cognitive decline may affect learning.
6836a030798052bc83763d4e,Dog,Golden Retriever,Puppy/Kitten | Adult | Senior,"Golden Retrievers need frequent brushing, at least 3 times a week, to manage shedding and prevent matting. Bathe them every 6-8 weeks or as needed using mild shampoos for sensitive skin. Clean ears weekly to prevent infections. Trim nails monthly and brush teeth often.","Senior Goldens thrive on a diet rich in omega-3s for coat and joint health, moderate protein for muscle maintenance, and low fat to prevent weight gain. Include joint supplements and consider fiber-rich food to support digestion.","Golden Retrievers are susceptible to cancer, arthritis, and hypothyroidism in their senior years. Monitor for signs of pain, limping, or behavioral changes. Regular vet visits (at least twice a year) and routine blood work are essential.",https://media.istockphoto.com/id/837898820/photo/golden-retriever-sitting-down-in-a-farm.webp?a=1&b=1&s=612x612&w=0&k=20&c=kHkJZXs87u1BsHnZ1gsaxAaFV8EqFhUQhB5qlR1E9Qk=,Golden Retriever Senior Care Guide,Common Health Issues in Aging Goldens,https://m.youtube.com/watch?v=f9dsQHbgaa4,https://www.youtube.com/watch?v=CTMX8RVW7i0,Keep them mentally and physically active with gentle games and training. Be patient and encourage positive behaviors with treats and affection. Adapt routines to accommodate lower energy levels.
6836a030798052bc83763d4f,Dog,Bulldog,Puppy/Kitten | Adult | Senior,Bulldogs have short coats but still need weekly brushing. Pay close attention to their facial wrinkles—clean and dry them daily to avoid infections. Bathe every 6-8 weeks using a mild shampoo. Nail trimming and ear cleaning are essential parts of their grooming routine.,"Senior Bulldogs need a low-calorie diet to avoid obesity, which can worsen breathing and joint issues. Look for food with glucosamine, chondroitin, and probiotics. Avoid grains if they have sensitivities and feed smaller portions more frequently.","Bulldogs often face breathing issues (brachycephalic syndrome), hip dysplasia, skin infections, and arthritis. Watch for labored breathing or mobility changes. Regular veterinary visits help manage these common problems and monitor heart and lung health.",https://images.unsplash.com/photo-1517723223973-e41138b7cad6?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8YnVsbCUyMGRvZ3xlbnwwfHwwfHx8MA%3D%3D,Caring for Elderly Bulldogs,Bulldog Health & Grooming Tips,https://m.youtube.com/watch?v=mDm4ECr_eqU,"https://www.petmd.com/dog/breeds/bulldog#:~:text=Coat%20Care,water%20to%20prevent%20skin%20infection.","Stick to light exercise and short training sessions with lots of positive reinforcement. Use puzzles or chew toys for mental stimulation, and keep routines consistent to reduce anxiety."
6836a030798052bc83763d50,Dog,Beagle,Puppy/Kitten | Adult | Senior,Beagles have short coats that shed moderately and need brushing 1-2 times per week. Bathe them every 6-8 weeks. Pay close attention to their long ears—clean weekly to avoid infections. Trim nails monthly and brush teeth regularly.,"Senior Beagles should have low-fat, high-fiber diets to prevent obesity. Include joint and cognitive support supplements. Feed controlled portions to manage their appetite and prevent overeating.","Common issues include obesity, epilepsy, arthritis, and hypothyroidism. Beagles may also develop hearing loss and dental disease. Routine vet checks and dental cleanings are important, along with monitoring their weight and activity levels.",https://images.unsplash.com/photo-1707298737261-069e2d529eaa?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8YmVhZ2xlfGVufDB8fDB8fHww,Senior Beagle Care Guide,Beagle Health Tips for Older Dogs,https://www.youtube.com/watch?v=8BgDEgbUhQU,https://supertails.com/pages/beagle?srsltid=AfmBOooOY6duO9nQvD3H7Fs9pgzyaRbI-pwOhFuTER3NAr__ZepnPdP4,Encourage gentle play and training sessions to keep their minds active. Use scent-based games and rewards. Beagles respond well to food-based motivation but require consistency and patience.
